요양기관명,좌표(X),좌표(Y),시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호
더사랑약국,126.6758308,37.5163566,인천,220005,인천서구,가정동,22783,"인천광역시 서구 가경주로40번길 20-10, 1호 (가정동)",070-4388-5131
광교팜약국,127.0695933,37.2971016,경기,312002,용인수지구,상현동,16943,"경기도 용인시 수지구 광교중앙로 304, 105호 (상현동)",031-217-9986
메디칼약국,126.7458544,37.7120908,경기,312200,파주시,동패동,10905,"경기도 파주시 와석순환로 125, 104,105호 (동패동, 현대프라자)",031-948-0837
문산보룡약국,126.7852505,37.8564009,경기,312200,파주시,문산읍,10823,"경기도 파주시 문산읍 문향로 49, (문산읍)",0507-1474-5682
청담장수 한약국,127.0502083,37.5250602,서울,110001,강남구,청담동,06012,"서울특별시 강남구 도산대로89길 3, (청담동, 2층 일부)",542-9828
대도약국,126.983275,37.5724922,서울,110016,종로구,견지동,03149,"서울특별시 종로구 우정국로 38-1, 1층 (견지동)",02-737-4510
메디팜정연약국,127.0335456,37.4864916,서울,110001,강남구,도곡동,06266,"서울특별시 강남구 강남대로 256, 103호 (도곡동, 대우양재디오빌)",02-522-5925
진선약국,127.0500875,37.5029179,서울,110001,강남구,대치동,06198,"서울특별시 강남구 선릉로 424, (대치동)",567-0429
국민약국,126.8580318,37.5318488,서울,110003,강서구,화곡동,07738,"서울특별시 강서구 곰달래로 225, 1,2층 (화곡동)",02-2602-4711
더현대약국,127.5437799,37.2053239,경기,312900,여주시,가남읍,12662,"경기도 여주시 가남읍 태평로 62, 1층",
직영약국,127.0235512,37.6305897,서울,110024,강북구,미아동,01118,"서울특별시 강북구 도봉로67길 13, (미아동)",02-989-2370
새서울약국,127.0175897,37.6202822,서울,110024,강북구,미아동,01188,"서울특별시 강북구 솔샘로 223, (미아동)",02-981-8215
제일성모약국,127.0440061,37.5829559,서울,110007,동대문구,청량리동,02573,"서울특별시 동대문구 약령시로 126, 1층 (청량리동)",02-965-9114
금창약국,127.0301301,37.5828078,서울,110007,동대문구,제기동,02477,"서울특별시 동대문구 약령시로 3, 1층 (제기동)",928-6985
석산약국,127.0368415,37.6034744,서울,110012,성북구,하월곡동,02740,"서울특별시 성북구 오패산로1길 1, (하월곡동)",02-912-2020
왕십리약국,127.0322163,37.5622059,서울,110011,성동구,하왕십리동,04714,"서울특별시 성동구 무학봉길 92, (하왕십리동)",02-2292-4247
상도약국,127.032557,37.5610862,서울,110011,성동구,행당동,04714,"서울특별시 성동구 행당로17길 32, 누보빌딩 105호 (행당동)",02-2292-5485
더조은약국,126.6965865,37.593307,인천,220005,인천서구,당하동,22682,"인천광역시 서구 원당대로 856, 마크포레스트 어반 B102호 (당하동)",032-562-9270
용원어시장약국,128.8185985,35.0935879,경남,380703,창원진해구,용원동,51610,"경상남도 창원시 진해구 용원동로 231, 1층 105,120호 (용원동)",055-546-7893
오남인화약국,127.1936981,37.7050852,경기,311500,남양주시,오남읍,12036,"경기도 남양주시 오남읍 진건오남로 915, 106호",031-572-3334
드림약국,128.6308539,35.8853248,대구,230002,대구동구,신암동,41217,"대구광역시 동구 아양로 162, 1층 (신암동)",
바다약국,127.2664684,37.0080068,경기,312400,안성시,석정동,17581,"경기도 안성시 중앙로 358, 1층 (석정동)",031-671-0131
교현미래약국,127.9280043,36.9807069,충북,330200,충주시,교현동,27364,"충청북도 충주시 국원대로 103, (교현동)",043-846-1283
하나약국,126.6765279,37.4134271,인천,220007,인천연수구,연수동,21927,"인천광역시 연수구 먼우금로188번길 12, 이리옴3빌딩 106,107,108호 (연수동)",032-815-0153
365송파고은약국,127.1077249,37.5137648,서울,110018,송파구,방이동,05548,"서울특별시 송파구 오금로 95, 국제빌딩 1층 (방이동)",02-417-0503
베어약국,127.0654871,37.5144324,서울,110001,강남구,삼성동,06170,"서울특별시 강남구 봉은사로114길 12, 지하 1층 (삼성동)",02-0000-0000
연수버들약국,126.6767294,37.4140587,인천,220007,인천연수구,연수동,21927,"인천광역시 연수구 먼우금로 190, 연수프라자 1층 109,110호 (연수동)",070-7543-8331
부평중앙약국,126.7242358,37.4963427,인천,220003,인천부평구,부평동,21393,"인천광역시 부평구 대정로 28, 104호 (부평동)",032-201-5060
소나무약국,126.9111099,37.5055197,서울,110013,영등포구,신길동,07388,"서울특별시 영등포구 신길로 150-1, 1층 (신길동)",070-7657-0013
하나프라자약국,127.047788,37.7122087,경기,310800,의정부시,호원동,11710,"경기도 의정부시 평화로 228, 103호 (호원동, 로뎀프라자)",031-875-4952
서초무지개약국,127.0277491,37.4889159,서울,110021,서초구,서초동,06630,"서울특별시 서초구 효령로 403, 4층 410호 (서초동)",0504-262-6507
산성메디칼약국,127.1496486,37.4517929,경기,310401,성남수정구,신흥동,13261,"경기도 성남시 수정구 희망로 551, 산성역자이푸르지오 C1블럭 106호 (신흥동)",070-8287-2387
다보온누리약국,126.9336534,37.3940293,경기,310701,안양만안구,안양동,14038,"경기도 안양시 만안구 안양천서로 177, 지하1층 (안양동, 래미안안양메가트리아)",031-446-3936
아라큰약국,128.4321612,35.2747071,경남,380017,함안군,산인면,52072,"경상남도 함안군 산인면 학산2길 17-52, (산인면)",055-585-7335
약대종로약국,126.7704527,37.517752,경기,310302,부천오정구,삼정동,14492,"경기도 부천시 오정구 중동로 426, 창안빌딩 1층 (삼정동)",032-677-0541
로얄약국,126.7767628,37.5034899,경기,310303,부천원미구,중동,14534,"경기도 부천시 원미구 길주로 307, 117호 (중동, 로얄프라자)",032-328-4098
구월대형약국,126.7084598,37.4519501,인천,220006,인천남동구,구월동,21565,"인천광역시 남동구 남동대로 780, 1,2층 1호 (구월동)",032-466-2736
동문약국,127.1395516,37.6052186,경기,311000,구리시,인창동,11918,"경기도 구리시 건원대로 47, (인창동)",
진하약국,129.2587409,35.2965245,부산,210100,부산기장군,일광읍,46040,"부산광역시 기장군 일광면 일광로 609, 609",051-728-6123
홍주한약국,126.6709952,36.6019497,충남,340015,홍성군,홍성읍,32221,"충청남도 홍성군 홍성읍 의사로 49, 49",041-632-2303
365 열시약국,126.9358542,35.1870944,광주,240002,광주북구,각화동,61137,"광주광역시 북구 군왕로 297, 365 열시약국 (각화동)",
D마트약국,127.9309947,37.3475681,강원,320400,원주시,단계동,26436,"강원특별자치도 원주시 천사로 50, 1층 (단계동, 새동빌딩)",033-746-0114
종로프라자약국,126.8540183,37.4797583,경기,310100,광명시,광명동,14202,"경기도 광명시 오리로 984, 1층 (광명동)",02-2689-4288
서현윤약국,127.1234385,37.3860699,경기,310403,성남분당구,서현동,13591,"경기도 성남시 분당구 황새울로342번길 9, 서울문고 1층 일부호 (서현동)",
대영약국,129.1071265,35.1380366,부산,210001,부산남구,대연동,48510,"부산광역시 남구 황령대로492번길 8, 영보빌딩 103호 (대연동)",051-622-5777
대학약국,127.3411451,36.3065708,대전,250003,대전서구,관저동,35365,"대전광역시 서구 관저동로 162, 건양프라자 (관저동)",042-541-0050
라라약국,128.9655838,35.1058002,부산,210010,부산사하구,하단동,49427,"부산광역시 사하구 낙동남로 1406, 101호 (하단동)",051-715-0862
암사조은온누리약국,127.1403474,37.5552527,서울,110002,강동구,암사동,05236,"서울특별시 강동구 고덕로 133, 상가동 511호 (암사동, 강동롯데캐슬퍼스트아파트)",426-3666
마장튼튼약국,127.3569914,37.2507871,경기,312100,이천시,마장면,17387,"경기도 이천시 마장면 중앙로10번길 30, 1층 104호",031-633-6294
우리아이약국,127.1576124,36.8186482,충남,340202,천안동남구,신부동,31123,"충청남도 천안시 동남구 만남로 50, 1층 104호 (신부동, 터미널프라자)",041-555-0103
스카이약국,126.9911577,37.4911126,서울,110021,서초구,방배동,06562,"서울특별시 서초구 방배로 199, 1층 C호 (방배동)",02-532-7225
화인약국,127.1178428,37.491762,서울,110018,송파구,문정동,05833,"서울특별시 송파구 중대로 80, (문정동, 롯데마트 3층)",02-449-0895
참다운약국,127.1539848,35.8458819,전북,350402,전주덕진구,우아동3가,54910,"전북특별자치도 전주시 덕진구 도당산1길 13, (우아동3가)",
박하향약국,126.7127253,37.5926069,인천,220005,인천서구,원당동,22866,"인천광역시 서구 이음대로 392, 메트로시티 106,107호 (원당동)",032-568-8591
좋은우리약국,126.7111628,37.6319034,경기,312300,김포시,걸포동,10099,"경기도 김포시 감암로 7, (걸포동)",031-987-7718
신세계약국,126.6656799,36.6001095,충남,340015,홍성군,홍성읍,32230,"충청남도 홍성군 홍성읍 내포로 20, (홍성읍)",041-632-2575
신시심야약국,127.1093332,35.8176135,전북,350401,전주완산구,효자동3가,54969,"전북특별자치도 전주시 완산구 홍산중앙로 46, 1층 102호 (효자동3가)",
프라자약국,126.9432631,37.4834822,서울,110004,관악구,봉천동,08750,"서울특별시 관악구 봉천로 391, 115호 (봉천동, 두산아파트에이상가)",02-3285-7294
오약국,126.603225,36.340204,충남,340400,보령시,명천동,33475,"충청남도 보령시 흥덕로 22, (명천동)",041-936-4964
파랑약국,129.1195631,35.2021038,부산,210009,부산해운대구,반여동,48037,"부산광역시 해운대구 선수촌로 94, 대룡빌딩 102호 (반여동)",051-526-8900
참약사한마음약국,127.1325223,37.5301002,서울,110002,강동구,성내동,05377,"서울특별시 강동구 풍성로51길 3, 1층 (성내동)",02-477-9877
오늘약국,128.5553458,35.8708157,대구,230004,대구서구,평리동,41777,"대구광역시 서구 국채보상로 223, 대원빌딩 106호 (평리동)",053-557-5577
메가약국,127.0990133,36.1898965,충남,340700,논산시,내동,32983,"충청남도 논산시 중앙로 255, 116호 (내동)",041-732-0280
한빛약국,127.092583,37.5896915,서울,110019,중랑구,면목동,02162,"서울특별시 중랑구 겸재로 225, 1층 (면목동)",02-2207-3588
새나루약국,127.3256614,36.4919774,세종시,410000,세종시,집현동,30141,"세종특별자치시 남세종로 73, 111호 (집현동)",
파마시아약국,127.0222723,37.5073723,서울,110021,서초구,반포동,06536,"서울특별시 서초구 강남대로85길 9, 1층 (반포동)",
이레중앙약국,126.7274383,37.4551234,인천,220006,인천남동구,만수동,21535,"인천광역시 남동구 구월로 332, (만수동)",032-465-0153
안양왕약국,126.9214334,37.3983255,경기,310701,안양만안구,안양동,14001,"경기도 안양시 만안구 안양로 293, (안양동)",031-441-4111
오늘약국,127.0179207,37.513494,서울,110021,서초구,잠원동,06527,"서울특별시 서초구 강남대로95길 38, 1층 (잠원동)",070-8287-1493
건강약국,128.9719889,35.0809393,부산,210010,부산사하구,장림동,49475,"부산광역시 사하구 장림번영로 59, 그랑프라자빌딩 103호 (장림동)",051-265-0525
킴스약국,129.0913661,35.2615078,부산,210011,부산금정구,남산동,46227,"부산광역시 금정구 중앙대로1985번길 1, (남산동)",051-516-1859
제일약국,127.1126512,37.5115228,서울,110018,송파구,방이동,05550,"서울특별시 송파구 백제고분로 457, 다우빌딩 (방이동)",417-8486
새동해약국,129.3715131,36.0245812,경북,370701,포항남구,해도동,37791,"경상북도 포항시 남구 중앙로122번길 29, (해도동)",054-282-1003
통영항약국,128.4176827,34.8408406,경남,380800,통영시,도천동,53067,"경상남도 통영시 새터길 15, (도천동, 성모의원)",055-643-4520
행복약국,126.7463043,37.5547854,인천,220008,인천계양구,박촌동,21022,"인천광역시 계양구 장제로 1004, 107호 (박촌동, 계양한양수자인)",032-552-2050
호약국,126.7833033,37.491807,경기,310303,부천원미구,심곡동,14578,"경기도 부천시 원미구 부흥로373번길 6, 1층 (심곡동)",032-675-2984
디오션약국,126.7405298,35.9761414,전북,350100,군산시,조촌동,54072,"전북특별자치도 군산시 궁포1로 24-9, 엔비빌딩 1층 (조촌동)",063-443-5255
자라섬약국,127.5108693,37.8314308,경기,310001,가평군,가평읍,12413,"경기도 가평군 가평읍 보납로 3, (가평읍)",031-581-1799
양천그린약국,126.858544,37.5215371,서울,110020,양천구,신정동,08086,"서울특별시 양천구 신월로 338, 101호 (신정동)",02-0000-0000
사랑약국,126.9014452,37.4506922,서울,110025,금천구,시흥동,08635,"서울특별시 금천구 시흥대로 189, 1층 103호 (시흥동)",02-743-2800
1층엔약국,127.0195523,37.5174876,서울,110001,강남구,신사동,06035,"서울특별시 강남구 강남대로 624, ICT TOWER 1층 일부호 (신사동)",02-518-3014
나라약국,126.9126023,37.1143487,경기,312500,화성시,향남읍,18611,"경기도 화성시 향남읍 상신하길로298번길 7-29, 114호",031-366-1509
새뜸365약국,127.2512409,36.4845279,세종시,410000,세종시,새롬동,30126,"세종특별자치시 새롬중앙로 41, 무지개타워 110호 (새롬동)",044-867-0365
전일약국,127.7045298,34.7542571,전남,360500,여수시,문수동,59713,"전라남도 여수시 문수로 86, (문수동)",061-654-3150
완산약국,128.9360513,35.9636026,경북,370600,영천시,완산동,38888,"경상북도 영천시 시장로 53, (완산동)",054-331-0005
광장약국,127.068693,37.1462902,경기,311800,오산시,원동,18141,"경기도 오산시 대원로 2, (원동)",031-375-8747
건강약국,126.983481,35.3163198,전남,360008,담양군,담양읍,57344,"전라남도 담양군 담양읍 중앙로 34, (담양읍)",061-938-9942
용머리약국,126.3103562,33.2338148,제주,390100,서귀포시,안덕면,63528,"제주특별자치도 서귀포시 안덕면 사계남로216번길 29, (안덕면)",070-7757-7128
상록수약국,126.6971986,35.4332126,전북,350001,고창군,고창읍,56437,"전북특별자치도 고창군 고창읍 동리로 45-1, (고창읍)",063-564-2976
예쁜나무약국,126.6245371,37.4160764,인천,220007,인천연수구,송도동,22019,"인천광역시 연수구 랜드마크로 20, 상가동 215호 (송도동, 호반써밋 송도)",
현대약국,126.9555655,37.4855026,서울,110004,관악구,봉천동,08744,"서울특별시 관악구 관악로 233, 1층 101호 (봉천동)",02-877-3272
시민약국,126.8862467,35.6863315,전북,350500,정읍시,신태인읍,56106,"전북특별자치도 정읍시 신태인읍 정신로 1140, (신태인읍)",063-571-2165
예손약국,126.9851245,37.3956065,경기,311600,의왕시,포일동,16001,"경기도 의왕시 안양판교로 99, 스마일타워 1층 101호 (포일동)",
수정약국,126.9755511,37.3504088,경기,311600,의왕시,오전동,16059,"경기도 의왕시 전주남이길 8, 102동 111호 (오전동, 목화케이티이자리에)",031-427-2944
하남정문약국,127.1978622,37.539791,경기,311300,하남시,덕풍동,12974,"경기도 하남시 덕풍공원로 39, 1층 (덕풍동)",031-8027-8239
서부대성약국,127.1266361,35.8057437,전북,350401,전주완산구,효자동1가,55093,"전북특별자치도 전주시 완산구 용머리로 148, (효자동1가)",063-227-7733
팜플러스약국,127.1344277,35.7870788,전북,350401,전주완산구,평화동2가,55123,"전북특별자치도 전주시 완산구 평화로 115, (평화동2가)",063-225-0771
최선약국,127.0574429,37.5680203,서울,110007,동대문구,답십리동,02615,"서울특별시 동대문구 전농로 36, (답십리동)",02-3394-5170
송탄효자약국,127.0552674,37.0807577,경기,311200,평택시,신장동,17753,"경기도 평택시 탄현로 317, (신장동)",031-666-5449
시네마약국,127.0921335,37.8194236,경기,312700,양주시,옥정동,11473,"경기도 양주시 옥정로 200, 옥정시네마엠디프라자 105호 (옥정동)",031-868-5897
신세계약국,127.4914365,36.1059275,충남,340002,금산군,금산읍,32735,"충청남도 금산군 금산읍 향군길 17-1, (금산읍)",041-752-5773
라파엘약국,126.8411109,37.5663373,서울,110003,강서구,등촌동,07582,"서울특별시 강서구 강서로 460, 평안빌딩 1층 101호 (등촌동)",02-3662-3335
참소망약국,127.1310632,37.5157277,서울,110018,송파구,방이동,05648,"서울특별시 송파구 양재대로 1222, 올림픽프라자 3층 15호 (방이동)",02-408-3393
이화정문약국,126.8349216,37.5578848,서울,110003,강서구,마곡동,07805,"서울특별시 강서구 마곡중앙4로 74, 104~105호 (마곡동)",2662-4863
새그린약국,127.1160973,37.5290315,서울,110018,송파구,풍납동,05537,"서울특별시 송파구 토성로 58, (풍납동)",02-473-6688
설파약국,127.0580145,37.576847,서울,110007,동대문구,전농동,02531,"서울특별시 동대문구 전농로 134, (전농동)",02-2245-4501
오름약국,126.5638319,33.2477781,제주,390100,서귀포시,서귀동,63595,"제주특별자치도 서귀포시 중정로 70, (서귀동)",064-803-0550
다정약국,127.0218693,37.5090965,서울,110021,서초구,반포동,06536,"서울특별시 서초구 강남대로 527, 브랜드칸 타워 1층 (반포동)",02-543-8006
강남성지약국,127.0262161,37.4998653,서울,110021,서초구,서초동,06614,"서울특별시 서초구 강남대로 419, 파고다타워 B2층 101호 (서초동)",
종로5가미래약국,127.0012655,37.5712127,서울,110016,종로구,종로5가,03129,"서울특별시 종로구 종로 211-1, 소암빌딩 1층 (종로5가)",02-766-5466
정문약국,127.0733345,37.8378239,경기,312700,양주시,고암동,11452,"경기도 양주시 화합로 1493, 메디타운 상가1층 105호 (고암동)",031-863-0501
현화메디컬약국,126.923344,36.9787443,경기,311200,평택시,안중읍,17943,"경기도 평택시 안중읍 안현로서8길 17, (안중읍)",031-686-9111
윤약국,127.5957797,37.4859745,경기,310009,양평군,용문면,12523,"경기도 양평군 용문면 용문로 384, 1층",031-771-2300
참우리약국,126.809388,37.3366486,경기,311101,안산단원구,선부동,15240,"경기도 안산시 단원구 선부광장1로 38, 상록타운 2층 209호 (선부동)",031-439-8288
라라약국,127.1276148,36.8317807,충남,340201,천안서북구,두정동,31090,"충청남도 천안시 서북구 오성6길 4, 102호 (두정동)",041-568-3737
송도봄약국,126.6454053,37.3945216,인천,220007,인천연수구,송도동,22003,"인천광역시 연수구 해돋이로 161, 세종프라자 106호 (송도동)",032-851-8835
편한약국,127.0299423,36.77421,충남,340500,아산시,풍기동,31528,"충청남도 아산시 온천대로1740번길 9, 아람메디컬빌딩 1층 104-1호 (풍기동)",041-545-5356
수약국,127.15859,37.6087966,경기,311500,남양주시,다산동,12256,"경기도 남양주시 도농로 24, 2층 225-1호 (다산동, 부영애시앙)",031-553-3301
백제약국,127.4997994,34.946037,전남,360400,순천시,조곡동,57964,"전라남도 순천시 팔마로 103, (조곡동)",061-743-5999
전주종로약국중화산점,127.1233976,35.8164061,전북,350401,전주완산구,중화산동2가,54985,"전북특별자치도 전주시 완산구 백제대로 262, (중화산동2가)",063-226-7585
대지약국,127.1306618,35.8072987,전북,350401,전주완산구,효자동1가,55048,"전북특별자치도 전주시 완산구 용머리로 189, (효자동1가)",063-222-6909
지평선약국,127.1160707,35.7988172,전북,350401,전주완산구,효자동1가,55085,"전북특별자치도 전주시 완산구 용리로 57-3, (효자동1가)",063-223-5335
다솔약국,127.1157281,35.7957216,전북,350401,전주완산구,삼천동1가,55086,"전북특별자치도 전주시 완산구 삼천천변1길 45, (삼천동1가)",063-229-9571
남문약국,127.206907,35.9750542,전북,350008,완주군,고산면,55311,"전북특별자치도 완주군 고산면 고산로 91, (고산면)",063-261-8275
미소약국,127.1054769,35.8160443,전북,350401,전주완산구,효자동2가,54966,"전북특별자치도 전주시 완산구 홍산로 249, 1층 101-2호 (효자동2가)",
전주대형온누리약국,127.1136882,35.8320094,전북,350401,전주완산구,서신동,54951,"전북특별자치도 전주시 완산구 당산로 50, 1층 (서신동)",063-278-3060
보령약국,127.1627006,35.8324956,전북,350402,전주덕진구,인후동1가,55019,"전북특별자치도 전주시 덕진구 무삼지로 77, (인후동1가)",063-246-5050
건강약국,127.0762451,35.912621,전북,350008,완주군,삼례읍,55342,"전북특별자치도 완주군 삼례읍 삼봉로 40, (삼례읍)",063-291-2276
태평양약국,126.9583231,35.9510072,전북,350300,익산시,남중동,54623,"전북특별자치도 익산시 인북로 254, (남중동)",063-858-0611-3
호약국,126.9374158,37.4758481,서울,110004,관악구,신림동,08836,"서울특별시 관악구 신림로 208, 1층 (신림동)",
국민약국,126.4749192,35.6294176,전북,350005,부안군,변산면,56337,"전북특별자치도 부안군 변산면 격포로 134, (변산면)",063-583-8010
준약국,127.1058272,37.1676291,경기,312500,화성시,송동,18497,"경기도 화성시 동탄대로5길 9, 더샵 동탄센텀폴리스 2단지 4층 4008,4009호 (송동)",031-377-6234
희망약국,127.2830552,35.6180416,전북,350010,임실군,임실읍,55925,"전북특별자치도 임실군 임실읍 봉황로 203-1, 203",063-644-4200
바른약국,127.0693544,37.7512937,경기,310800,의정부시,금오동,11757,"경기도 의정부시 부용로 105, 프레티넘프라자2 109호 (금오동)",031-853-6700
새천년건강한약국,126.9384049,35.943542,전북,350300,익산시,모현동1가,54660,"전북특별자치도 익산시 배산로 64, (모현동1가)",063-851-7975
복조리약국,127.1428397,37.5371204,서울,110002,강동구,길동,05351,"서울특별시 강동구 천호대로187길 61, 1층 (길동)",02-477-1024
송화약국,126.8360328,37.5481315,서울,110003,강서구,내발산동,07639,"서울특별시 강서구 강서로 251, 세란빌딩 1층 3호 (내발산동)",02-2607-1566
