dutyName,wgs84Lat,wgs84Lon,dutyAddr,dutyEmclsName,dutyTel1,dutyTel3,dutyEmcls,hpid,phpid,rnum
삼천포제일병원,34.93753929,128.0795128,"경상남도 사천시 중앙로 136, 삼천포제일병원 (벌리동)",지역응급의료기관,055-833-4400,055-830-3099,G007,A2800101,A2800101,168
삼호병원,34.83384675,127.3457323,전라남도 보성군 벌교읍 남하로 12,지역응급의료기관,061-859-5000,061-859-5119,G007,A2600066,A2600066,169
상무병원,35.15242291,126.8539184,광주광역시 서구 상무자유로 181-7 (치평동),지역응급의료기관,062-600-7000,062-600-7119,G007,A1500022,A1500022,170
울산엘리야병원,35.62891129,129.3506301,울산광역시 북구 호계로 285 (호계동),응급의료기관 외의 의료기관(응급의료시설),052-290-2100,052-290-2119,G009,A1700007,A1700007,251
울진군의료원,36.99264956,129.4094916,경상북도 울진군 울진읍 현내항길 71,지역응급의료기관,054-785-7000,054-785-7119,G007,A2700052,A2700052,252
원광대학교병원,35.96424196,126.9593063,전북특별자치도 익산시 무왕로 895 (신동),권역응급의료센터,063-859-1114,063-859-1165,G001,A2500001,A2500001,253
원광대학교산본병원,37.35978718,126.9333072,경기도 군포시 산본로 321 (산본동),지역응급의료센터,031-390-2300,031-390-2345,G006,A2100048,A2100048,254
원병원,37.65195717,127.3043774,경기도 남양주시 화도읍 경춘로 1943-16,응급의료기관 외의 의료기관(응급의료시설),031-590-3114,031-5903-1189,G009,A2100208,A2100208,255
원주성모병원,37.39364611,127.9845808,강원특별자치도 원주시 소초면 치악로 2473,응급의료기관 외의 의료기관(응급의료시설),033-741-5000,033-741-5119,G009,A2200030,A2200030,256
윤서병원,37.60519853,127.1396114,경기도 구리시 건원대로 47 (인창동),응급의료기관 외의 의료기관(응급의료시설),031-553-6650,031-564-2222,G009,A2100116,A2100116,257
은평연세병원,37.61469222,126.9174722,서울특별시 은평구 연서로 177 (갈현동),응급의료기관 외의 의료기관(응급의료시설),02-388-8114,02-388-0119,G009,A1100152,A1100152,258
의)근원의료재단경산중앙병원,35.80882731,128.7401573,경상북도 경산시 경안로 11 (백천동),지역응급의료기관,053-715-0100,053-715-0119,G007,A2700019,A2700019,259
의령병원,35.31860563,128.2586798,경상남도 의령군 의령읍 의병로14길 10,지역응급의료기관,055-573-4100,055-573-6806,G007,A2800090,A2800090,260
의료법인은성의료재단좋은삼선병원,35.15056774,129.0081979,부산광역시 사상구 가야대로 326 (주례동),지역응급의료센터,051-322-0900,051-310-9119,G006,A1200005,A1200005,351
의료법인은성의료재단좋은삼정병원,35.55282642,129.2689979,울산광역시 남구 북부순환도로 51 (무거동),지역응급의료기관,052-220-7500,052-220-7600,G007,A1700011,A1700011,352
의료법인은성의료재단좋은선린병원,36.04808906,129.3670434,경상북도 포항시 북구 대신로 43 (대신동),지역응급의료기관,054-245-5000,054-245-5200,G007,A2702563,A2702563,353
의료법인은혜와감사의료재단화성중앙종합병원,37.13118967,126.9103656,경기도 화성시 향남읍 발안로 5,지역응급의료기관,031-352-8114,031-371-7998,G007,A2100018,A2100018,354
의료법인인봉의료재단뉴고려병원,37.64095508,126.6602276,"경기도 김포시 김포한강3로 283, 뉴고려병원 (장기동)",지역응급의료센터,031-998-8129,031-980-9119,G006,A2100006,A2100006,355
의료법인인성의료재단한림병원,37.53218449,126.734355,인천광역시 계양구 장제로 722 (작전동),지역응급의료센터,032-540-9114,032-540-9119,G006,A1400014,A1400014,356
의료법인인성의료재단함평성심병원,35.06188611,126.5198056,"전라남도 함평군 함평읍 영수길 132, 함평성심병원",응급의료기관 외의 의료기관(응급의료시설),061-324-0001,061-324-0072,G009,A2600090,A2600090,357
의료법인인화재단한국병원,36.61950589,127.4965949,충청북도 청주시 상당구 단재로 106 (영운동),지역응급의료센터,043-222-7000,043-222-6177,G006,A2300007,A2300007,358
의료법인일산복음병원,37.68205457,126.7801254,"경기도 고양시 일산동구 고양대로 760, 가동 (중산동, 일산복음병원)",응급의료기관 외의 의료기관(응급의료시설),031-977-5000,031-929-0330,G009,A2100283,A2100283,359
의료법인자산의료재단제천서울병원,37.13857101,128.2061393,충청북도 제천시 숭문로 57 (서부동),지역응급의료센터,043-642-7606,043-643-2327,G006,A2300005,A2300005,360
계명대학교대구동산병원,35.86945965,128.5829311,"대구광역시 중구 달성로 56, 계명대학교대구동산병원 (동산동)",지역응급의료기관,053-250-8114,053-250-8481,G007,A1303386,A1303386,51
계명대학교동산병원,35.85388729,128.4801297,대구광역시 달서구 달구벌대로 1035 (신당동),지역응급의료센터,1577-6622,053-258-6301,G006,A1300003,A1300003,52
고려대학교의과대학부속구로병원,37.49211115,126.8847449,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",권역응급의료센터,02-2626-1114,02-2626-1550,G001,A1100014,A1100014,53
고려대학교의과대학부속안산병원,37.31885818,126.8250018,경기도 안산시 단원구 적금로 123 (고잔동),권역응급의료센터,031-1577-7516,031-412-5381,G001,A2100003,A2100003,54
고신대학교복음병원,35.08029169,129.0157202,부산광역시 서구 감천로 262 (암남동),지역응급의료센터,051-990-6114,051-990-6200,G006,A1200004,A1200004,55
곡성사랑병원,35.27628371,127.287976,전라남도 곡성군 곡성읍 곡성로 761,지역응급의료기관,061-360-6000,061-360-6008,G007,A2600029,A2600029,56
곽병원,35.87069315,128.5887281,대구광역시 중구 국채보상로 531 (수동),지역응급의료기관,053-252-2401,053-605-3333,G007,A1300008,A1300008,57
광명성애병원,37.47346147,126.8719226,"경기도 광명시 디지털로 36, 광명성애병원 (철산동)",지역응급의료센터,02-2680-7114,02-2680-7115,G006,A2100007,A2100007,58
광양사랑병원,34.93614549,127.6969511,전라남도 광양시 공영로 71 (중동),지역응급의료기관,061-797-7000,061-797-7119,G007,A2600006,A2600006,59
광주기독병원,35.13668286,126.9119844,광주광역시 남구 양림로 37 (양림동),지역응급의료센터,062-650-5000,062-650-5119,G006,A1500021,A1500021,60
의료법인 현경의료재단 광양서울병원,34.95791201,127.6905571,전라남도 광양시 진등길 93 (마동),지역응급의료기관,061-798-9800,061-798-9819,G007,A2600024,A2600024,281
의료법인 혜인의료재단 한국병원,33.50018592,126.5169887,제주특별자치도 제주시 서광로 193 (삼도일동),지역응급의료기관,064-750-0000,064-750-0160,G007,A2900003,A2900003,282
의료법인갈렌의료재단박병원,37.0482647,127.0570039,경기도 평택시 송탄로 33 (장당동),지역응급의료기관,031-666-2600,031-662-4119,G007,A2100309,A2100309,283
의료법인갑을의료재단 갑을장유병원,35.20866716,128.805643,경상남도 김해시 장유로 167-13 (부곡동),지역응급의료기관,055-310-6000,055-310-6119,G007,A2800014,A2800014,284
의료법인강릉동인병원,37.77432579,128.9071418,강원특별자치도 강릉시 강릉대로419번길 42 (포남동),지역응급의료센터,033-650-6113,033-650-6105,G006,A2200005,A2200005,285
의료법인건명의료재단중앙제일병원,36.85848748,127.4405079,충청북도 진천군 진천읍 중앙북로 36,지역응급의료기관,043-533-1711,043-537-9119,G007,A2300013,A2300013,286
의료법인구의료재단구병원,35.85082314,128.541483,대구광역시 달서구 감삼북길 141 (감삼동),지역응급의료기관,053-560-9016,053-557-7119,G007,A1300006,A1300006,287
의료법인나사렛의료재단나사렛국제병원,37.40799111,126.6704694,"인천광역시 연수구 먼우금로 98 (동춘동, 나사렛국제병원)",지역응급의료센터,032-899-9999,032-899-9699,G006,A1400011,A1400011,288
의료법인남촌의료재단시화병원,37.34995564,126.736971,"경기도 시흥시 군자천로 381, 시화병원 (정왕동)",지역응급의료센터,1811-7000,031-5189-0567,G006,A2100008,A2100008,289
의료법인녹산의료재단동수원병원,37.27816562,127.0343638,경기도 수원시 팔달구 중부대로 165 (우만동),지역응급의료센터,031-210-0114,031-210-0119,G006,A2100009,A2100009,290
의료법인합포의료재단에스엠지연세병원,35.1863533,128.5616316,"경상남도 창원시 마산합포구 3·15대로 76 (월남동2가, 합포의료재단)",지역응급의료센터,055-243-0100,055-240-7777,G006,A2800017,A2800017,381
의료법인해민의료재단 세안종합병원,34.8170301,126.3803394,전라남도 목포시 고하대로 795-2 (연산동),지역응급의료기관,061-260-6700,061-260-6666,G007,A2600007,A2600007,382
의료법인행복나눔의료재단 장성병원,35.30587166,126.7836196,전라남도 장성군 장성읍 역전로 171,지역응급의료기관,061-390-9000,061-390-9119,G007,A2600035,A2600035,383
의료법인행촌의료재단 해남종합병원,34.57154722,126.6126833,전라남도 해남군 해남읍 해남로 45,지역응급의료기관,061-536-4116,061-530-0119,G007,A2600009,A2600009,384
의료법인환명의료재단 조은금강병원,35.26230384,128.8615782,경상남도 김해시 김해대로 1814-37 (삼계동),지역응급의료기관,055-330-0300,055-330-0200,G007,A2800010,A2800010,385
의료법인힐링의료재단옥천성모병원,36.31334584,127.5719774,충청북도 옥천군 옥천읍 성왕로 1195,지역응급의료기관,043-730-7000,043-730-7119,G007,A2300011,A2300011,386
의산의료재단강릉고려병원,37.75910092,128.8998247,강원특별자치도 강릉시 옥가로 30 (옥천동),응급의료기관 외의 의료기관(응급의료시설),033-642-1988,033-647-7582,G009,A2200010,A2200010,387
이화여자대학교의과대학부속목동병원,37.53654283,126.886216,서울특별시 양천구 안양천로 1071 (목동),권역응급의료센터,02-2650-5114,02-2650-5911,G001,A1100005,A1100005,388
이화여자대학교의과대학부속서울병원,37.55726115,126.8362659,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)",지역응급의료센터,1522-7000,02-6986-5119,G006,A1120796,A1120796,389
인산의료재단메트로병원,37.37859798,126.9352999,"경기도 안양시 만안구 명학로33번길 8 (안양동, 메트로병원)",응급의료기관 외의 의료기관(응급의료시설),031-467-9000,031-467-9998,G009,A2100010,A2100010,390
의료법인 갑을의료재단 갑을녹산병원,35.09057381,128.8533209,부산광역시 강서구 녹산산단321로 24-8 (송정동),응급의료기관 외의 의료기관(응급의료시설),051-974-8300,051-974-8414,G009,A1200139,A1200139,261
의료법인 거명의료재단 영광기독병원,35.27495936,126.5108759,전라남도 영광군 영광읍 신남로 265,지역응급의료기관,061-350-3000,061-350-3080,G007,A2600034,A2600034,262
의료법인 거붕 백병원,34.87367581,128.626057,경상남도 거제시 계룡로5길 14 (상동동),지역응급의료기관,055-733-0000,055-733-0180,G007,A2800008,A2800008,263
의료법인 광혜의료재단 광혜병원,35.20703333,129.0711361,"부산광역시 동래구 충렬대로 96 (온천동, 광혜병원)",지역응급의료기관,051-503-2111,051-504-2119,G007,A1200009,A1200009,264
의료법인 길의료재단 길병원,37.45208025,126.7091617,"인천광역시 남동구 남동대로774번길 21 (구월동, 가천대학교길병원)",권역응급의료센터,032-460-3548,032-460-3012,G001,A1400001,A1400001,265
의료법인 대우의료재단대우병원,34.87222152,128.7221642,경상남도 거제시 두모길 16 (두모동),지역응급의료기관,055-680-8114,055-680-8119,G007,A2800005,A2800005,266
의료법인 성념의료재단맑은샘병원,34.89793483,128.6437178,경상남도 거제시 연초면 거제대로 4477,지역응급의료기관,055-736-1004,055-736-0119,G007,A2800022,A2800022,267
의료법인 성수의료재단 인천백병원,37.47725814,126.6485041,인천광역시 동구 샛골로 214 (송림동),지역응급의료기관,032-765-7070,032-280-8119,G007,A1400007,A1400007,268
의료법인 센텀의료재단 센텀종합병원,35.16637129,129.1146683,부산광역시 수영구 수영로679번길 8 (광안동),지역응급의료기관,051-750-5000,051-750-5119,G007,A1200098,A1200098,269
의료법인 영제 의료재단 엔케이세종병원,36.47962251,127.2622562,"세종특별자치시 한누리대로 161, 세종시 NK리움힐 상가 1~8층 (나성동)",지역응급의료기관,044-850-7700,044-850-7705,G007,A1800417,A1800417,270
한림대학교성심병원,37.3916512,126.9619708,경기도 안양시 동안구 관평로170번길 22 (평촌동),권역응급의료센터,031-380-1500,031-380-4129,G001,A2100004,A2100004,491
한림대학교춘천성심병원,37.88413581,127.7398945,강원특별자치도 춘천시 삭주로 77 (교동),권역응급의료센터,033-240-5000,033-240-5219,G001,A2200013,A2200013,492
한림대학교한강성심병원,37.52346675,126.91033,"서울특별시 영등포구 버드나루로7길 12 (영등포동7가, 한강성심병원)",응급의료기관 외의 의료기관(응급의료시설),02-2639-5114,02-2639-5555,G009,A1100038,A1100038,493
한마음병원,33.49626124,126.5462245,제주특별자치도 제주시 연신로 52   (이도이동),지역응급의료센터,064-750-9000,064-750-9119,G006,A2900005,A2900005,494
한양대학교구리병원,37.60127601,127.1325076,경기도 구리시 경춘로 153 (교문동),지역응급의료센터,1644-9118,1644-9118,G006,A2100039,A2100039,495
한양대학교병원,37.55994453,127.0448828,서울특별시 성동구 왕십리로 222-1 (사근동),권역응급의료센터,02-2290-8114,02-2290-8284,G001,A1100013,A1100013,496
한일병원,35.1669652,128.1285477,"경상남도 진주시 범골로 17, 한일병원 지하1 1~7층 (충무공동)",지역응급의료센터,055-759-7777,055-750-1333,G006,A2800043,A2800043,497
함양성심병원,35.52046828,127.7292477,경상남도 함양군 함양읍 고운로 70,지역응급의료기관,055-963-4322,055-964-4322,G007,A2800080,A2800080,498
해남우리종합병원,34.58423738,126.646583,전라남도 해남군 옥천면 해남로 597,지역응급의료기관,061530-7000,061-530-7119,G007,A2600077,A2600077,499
해피뷰병원,35.15846281,126.9066923,광주광역시 북구 경열로 216 (유동),응급의료기관 외의 의료기관(응급의료시설),062-519-9000,062-519-9119,G009,A1500057,A1500057,500
충남대학교병원,36.31696055,127.4154613,"대전광역시 중구 문화로 282 (대사동, 충남대학교병원)",권역응급의료센터,1599-7123,042-280-8129,G001,A1600001,A1600001,451
충북대학교병원,36.62416682,127.4614361,"충청북도 청주시 서원구 1순환로 776-0 (개신동,충북대학교병원)",권역응급의료센터,15330075,043-269-6114,G001,A2300001,A2300001,452
충주미래병원,36.98042848,127.9279257,"충청북도 충주시 국원대로 99-0, 0동 (교현동,미래병원)",응급의료기관 외의 의료기관(응급의료시설),043-852-9119,,G009,A2302306,A2302306,453
충청남도공주의료원,36.45905456,127.1092156,충청남도 공주시 무령로 77 (웅진동),지역응급의료기관,041-962-1111,041-962-1365,G007,A2400010,A2400010,454
충청남도서산의료원,36.77556878,126.4651573,충청남도 서산시 중앙로 149 (석림동),지역응급의료센터,041-689-7000,041-689-7119,G006,A2400006,A2400006,455
충청남도천안의료원,36.77535992,127.1799203,충청남도 천안시 동남구 충절로 537 (삼룡동),지역응급의료기관,041-570-7200,041-570-7119,G007,A2400005,A2400005,456
충청남도홍성의료원,36.59933992,126.6744067,충청남도 홍성군 홍성읍 조양로 224,지역응급의료센터,041-630-6251,041-630-6119,G006,A2400007,A2400007,457
충청북도청주의료원,36.64013897,127.4730876,"충청북도 청주시 서원구 흥덕로 48-0 (사직동,청주의료원)",지역응급의료기관,043-279-2300,043-279-0119,G007,A2300006,A2300006,458
충청북도충주의료원,36.97956732,127.9703586,충청북도 충주시 안림로 239-50 (안림동),지역응급의료기관,043-871-0114,043-871-0119,G007,A2300004,A2300004,459
칠곡경북대학교병원,35.95608306,128.5644085,"대구광역시 북구 호국로 807, 칠곡경북대학교병원(임상실습동 1~11층 포함) (학정동)",지역응급의료센터,053-200-2000,053-200-2100,G006,A1300010,A1300010,460
근로복지공단대전병원,36.36857687,127.4284999,대전광역시 대덕구 계족로 637 (법동),응급의료기관 외의 의료기관(응급의료시설),042-670-5419,042-670-5119,G009,A1600009,A1600009,81
근로복지공단동해병원,37.53232312,129.105856,"강원특별자치도 동해시 하평로 11-  (평릉동, (평릉동))",지역응급의료기관,033-530-3100,033-530-3119,G007,A2200038,A2200038,82
근로복지공단순천병원,34.96032502,127.5245259,전라남도 순천시 조례1길 24 (조례동),응급의료기관 외의 의료기관(응급의료시설),061-720-7575,,G009,A2600012,A2600012,83
근로복지공단안산병원,37.31687107,126.8740285,"경기도 안산시 상록구 구룡로 87, 근로복지공단안산병원 (일동)",지역응급의료기관,031-500-1114,031-500-1119,G007,A2100014,A2100014,84
근로복지공단인천병원,37.47634975,126.7533159,인천광역시 부평구 무네미로 446 (구산동),응급의료기관 외의 의료기관(응급의료시설),032-500-0114,,G009,A1400032,A1400032,85
근로복지공단정선병원,37.38292381,128.6584205,강원특별자치도 정선군 정선읍 봉양1길 145,지역응급의료기관,033-560-7100,033-560-7150,G007,A2200048,A2200048,86
근로복지공단태백병원,37.10404229,129.004287,강원특별자치도 태백시 보드미길 8 (장성동),지역응급의료기관,033-580-3114,033-580-3119,G007,A2200004,A2200004,87
금일마취통증의학과의원,34.3494838,127.0297612,"전라남도 완도군 금일읍 감목길 5, 금일마취통증의학과의원",응급의료기관 외의 의료기관(응급의료시설),061-553-3577,,G009,A2600667,A2600667,88
기쁨병원,37.48271303,127.0180635,"서울특별시 서초구 서초중앙로 4, 기쁨병원 (서초동)",응급의료기관 외의 의료기관(응급의료시설),02-570-1234,,G009,A1122033,A1122033,89
김제우석병원,35.80673936,126.8796996,전북특별자치도 김제시 서암4길 45 (서암동),지역응급의료기관,063-540-5114,063-540-5119,G007,A2500038,A2500038,90
엘병원,37.64873349,127.1410487,"경기도 남양주시 퇴계원읍 퇴계원로 20, 지하2~지상7층 일부제외호",지역응급의료기관,1899-3377,031-527-6119,G007,A2118188,A2118188,221
여수전남병원,34.7450192,127.7280841,"전라남도 여수시 좌수영로 49 (광무동, 전남병원)",지역응급의료기관,061-640-7575,061-640-7118,G007,A2600010,A2600010,222
여수한국병원,34.76124318,127.6750954,전라남도 여수시 여천체육공원길 10 (신기동),응급의료기관 외의 의료기관(응급의료시설),061-689-9000,061-689-9119,G009,A2601742,A2601742,223
여천전남병원,34.76918041,127.6540427,전라남도 여수시 무선로 95 (선원동),지역응급의료센터,061-690-6900,061-690-6118,G006,A2600014,A2600014,224
연세대학교원주세브란스기독병원,37.34795543,127.9456453,강원특별자치도 원주시 일산로 20 (일산동),권역응급의료센터,033-741-0114,033-741-1641,G001,A2200001,A2200001,225
연세대학교의과대학강남세브란스병원,37.49280698,127.0463125,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",지역응급의료센터,02-2019-3114,02-2019-3333,G006,A1100015,A1100015,226
연세대학교의과대학세브란스병원,37.56211711,126.9408277,서울특별시 서대문구 연세로 50-1 (신촌동),지역응급의료센터,02-2228-0114,02-2227-7777,G006,A1100007,A1100007,227
연세대학교의과대학용인세브란스병원,37.27077583,127.1481886,경기도 용인시 기흥구 동백죽전대로 363 (중동),지역응급의료센터,1899-1004,031-5189-9001,G006,A2100020,A2100020,228
연세새로운병원,37.28987165,127.6328795,경기도 여주시 영릉로 22 (창동),응급의료기관 외의 의료기관(응급의료시설),031-885-7582,031-885-7582,G009,A2100173,A2100173,229
연세에스병원,35.1547321,128.6983353,경상남도 창원시 진해구 해원로32번길 13 (이동),지역응급의료기관,055-548-7700,055-548-7789,G007,A2800021,A2800021,230
행복한병원,35.37461994,128.7114865,경상남도 밀양시 하남읍 수산중앙로 56-2,응급의료기관 외의 의료기관(응급의료시설),055-391-0090,,G009,A2800042,A2800042,501
행복한병원,35.69330551,128.4704396,"대구광역시 달성군 유가읍 테크노순환로12길 4, 1층,4~6층(1층 사우나홀,113~117호,119~120호,405~407호,5층,601~607호",응급의료기관 외의 의료기관(응급의료시설),053-210-8000,053-210-8082,G009,A1303449,A1303449,502
현대병원,37.71548655,127.1798499,경기도 남양주시 진접읍 봉현로 21,지역응급의료센터,031-574-9118~9,031-574-0114,G006,A2100037,A2100037,503
현대병원,36.7831183,127.0009703,충청남도 아산시 시민로 388 (온천동),응급의료기관 외의 의료기관(응급의료시설),041-546-3636,041-546-7744,G009,A2400039,A2400039,504
현대유비스병원,37.46174383,126.6431417,인천광역시 미추홀구 독배로 503 (숭의동),지역응급의료기관,032-888-7575,032-890-5582,G007,A1400004,A1400004,505
혜민병원,37.53531566,127.0836013,서울특별시 광진구 자양로 85 (자양동),지역응급의료기관,02-2049-9000,02-2049-9119,G007,A1100051,A1100051,506
혜성병원,37.65010957,127.2383219,"경기도 남양주시 경춘로1308번길 4, 1층일부~10층 (평내동)",응급의료기관 외의 의료기관(응급의료시설),318151119,,G009,A2120077,A2120077,507
홍익병원,37.52844147,126.863664,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",지역응급의료기관,02-2693-5555,02-2600-0777,G007,A1100019,A1100019,508
홍천아산병원,37.69082165,127.8949072,강원특별자치도 홍천군 홍천읍 산림공원1길 17,지역응급의료기관,033-430-5211,033-430-5119,G007,A2200014,A2200014,509
화성디에스병원,37.19922971,126.8257109,"경기도 화성시 남양읍 시청로160번길 46-13, 1,3~8층",지역응급의료기관,1600-5982,031-5180-7777,G007,A2116761,A2116761,510
(의)내경의료재단울산제일병원,35.5482382,129.3070114,울산광역시 남구 남산로354번길 26 (신정동),응급의료기관 외의 의료기관(응급의료시설),052-220-3300,052-220-3334,G009,A1700023,A1700023,1
(의)서일의료재단기장병원,35.23602946,129.2164916,부산광역시 기장군 기장읍 대청로72번길 6,지역응급의료기관,051-723-0171,051-723-2119,G007,A1200028,A1200028,2
(의)성세의료재단 뉴성민병원,37.50899368,126.6694786,"인천광역시 서구 칠천왕로33번길 17 (석남동, 신석로 70(석남1동, 성민병원))",지역응급의료기관,032-726-1000,032-726-1190,G007,A1400008,A1400008,3
(의)영문의료재단다보스병원,37.23464129,127.2104987,"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",지역응급의료센터,031-8021-2114,031-8021-2130,G006,A2100019,A2100019,4
(의)효심의료재단용인서울병원,37.24031637,127.2144914,경기도 용인시 처인구 고림로 81 (고림동),지역응급의료기관,031-337-0114,031-336-0119,G007,A2100122,A2100122,5
(재)미리내천주성삼성직수도회천주성삼병원,35.84022545,128.7057334,"대구광역시 수성구 달구벌대로 3190 (신매동, 천주성삼병원)",지역응급의료기관,053-790-1000,053-790-0555,G007,A1300081,A1300081,6
KS병원,35.19796318,126.8332248,광주광역시 광산구 왕버들로 220 (수완동),지역응급의료센터,062-975-9000,062-975-9119,G006,A1500019,A1500019,7
가톨릭관동대학교국제성모병원,37.54237265,126.6836049,"인천광역시 서구 심곡로100번길 25 (심곡동, 인천국제성모병원)",지역응급의료센터,1600-8291,032-290-3065,G006,A1400015,A1400015,8
가톨릭대학교 여의도성모병원,37.51827234,126.9367313,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",지역응급의료센터,1661-7575,02-3779-1188,G006,A1100011,A1100011,9
가톨릭대학교 은평성모병원,37.63360841,126.9161505,서울특별시 은평구 통일로 1021 (진관동),지역응급의료센터,02-1811-7755,02-1811-7755,G006,A1121013,A1121013,10
강릉아산병원,37.81842669,128.8577141,강원특별자치도 강릉시 사천면 방동길 38,권역응급의료센터,033-610-3114,033-610-3333,G001,A2200008,A2200008,21
강병원,34.97415925,128.3252894,경상남도 고성군 고성읍 중앙로 49,지역응급의료기관,055-673-0101,055-673-4848,G007,A2800032,A2800032,22
